Date,ART,CPM,EPM,ExPM,HTTP,CPU,MEM
7/7/2023 16:30,130,4,1,3,2,22,20
7/8/2023 6:30,124,5,1,4,0,23,33
7/8/2023 13:30,161,7,2,1,18,24,55
7/10/2023 0:30,148,3,0,5,9,35,23
7/10/2023 7:30,373,0,1,8,1,36,67
7/11/2023 4:30,195,0,0,10,1,37,18
7/11/2023 11:30,199,1,0,6,1,44,21
7/11/2023 18:30,310,0,1,0,8,23,34
7/14/2023 2:30,161,13,2,62,1,45,21
7/14/2023 9:30,216,4,0,5,6,50,20
7/14/2023 16:30,172,3,2,12,5,81,45
7/14/2023 23:30,160,3,1,3,2,44,36
7/18/2023 4:30,174,3,2,4,0,22,18
